word,count
p r i m a r i l y,5
p r e d o m i n a n t l y,1
m o t o r i s e d,2
F o r m u l a,1
1,3
p o w e r b o a t i n g,1
c o - o r d i n a t i o n,1
s n o o k e r,1
c u e,1
a n i m a l - s u p p o r t e d,1
i n c l u s i o n,1
w i t h i n,6
d e f i n i t i o n s,2
h a s,51
b e e n,32
u n i v e r s a l l y,2
a c c e p t e d,4
l e a d i n g,7
l e g a l,4
c h a l l e n g e s,4
g o v e r n i n g,3
b o d i e s,5
r e g a r d s,1
d e n i e d,1
f u n d i n g,1
a v a i l a b l e,5
W h i l s t,1
s m a l l,4
i t,38
o p e n,2
f u r t h e r,5
T h e r e,9
i n c r e a s e,8
a p p l i c a t i o n,2
v i d e o,4
c a l l e d,4
e s p o r t s,1
e l e c t r o n i c,1
e s p e c i a l l y,3
d u e,5
s c a l e,3
p a r t i c i p a t i o n,16
o r g a n i s e d,3
t h e s e,16
m a i n s t r e a m,1
E u r o p e a n,12
C h a r t e r,1
a r t i c l e,19
2 . i,1
' S p o r t,1
',9
m e a n s,9
f o r m s,10
c a s u a l,1
a i m,5
a t,36
e x p r e s s i n g,1
i m p r o v i n g,1
f i t n e s s,3
m e n t a l,1
w e l l - b e i n g,1
f o r m i n g,2
s o c i a l,19
r e l a t i o n s h i p s,2
o b t a i n i n g,1
r e s u l t s,5
l e v e l s,4
C o m p e t i t i o n,1
H o r s e,1
r a c i n g,1
o p p o s i n g,1
v i e w s,2
n e c e s s i t y,1
d e f i n i n g,1
a l m o s t,3
p r o f e s s i o n a l,10
i n v o l v i n g,2
r e q u i r i n g,4
p r e r e q u i s i t e,1
I O C,3
a d v o c a t e,1
w i d e n i n g,1
F o r,18
i n s t a n c e,4
t h o s e,8
c o m p e t e d,1
j u s t,4
f u n,2
I n,66
o r d e r,6
w i d e n,1
r e d u c e,2
i m p a c t,6
l o s i n g,1
l e s s,2
a b l e,5
i n t r o d u c t i o n,1
n o n - c o m p e t i t i v e,1
t r a d i t i o n a l l y,2
s c h o o l,5
d a y s,3
a l t h o u g h,2
m o v e s,1
l i k e,13
c o n t r o v e r s i a l,3
g r a d e d,1
c l a s s i f i e d,3
t h e i r,47
r e s u l t,14
d i v i d e d,3
g r o u p s,8
c o m p a r a b l e,1
g e n d e r,4
w e i g h t,1
a g e,6
m e a s u r e m e n t,2
c o r r e c t e d,1
h a n d i c a p s,1
p e n a l t i e s,1
r a c e,4
e x a m p l e,14
t i m e,13
c o m p l e t e,1
c o u r s e,2
g y m n a s t i c s,2
d i v i n g,1
d e c i d e d,3
p a n e l,1
m a n y,17
s h a d e s,1
j u d g i n g,1
b o x i n g,2
m i x e d,1
m a r t i a l,2
a r t s,1
w h e r e,13
v i c t o r y,2
a s s i g n e d,1
i f,9
n e i t h e r,2
c o m p e t i t o r,1
l o s t,2
e n d,9
m a t c h,2
H i s t o r y,28
M a i n,21
R o m a n,3
b r o n z e,1
r e d u c t i o n,1
M y r o n,1
D i s c o b o l o s,1
2 n d,1
c e n t u r y,28
A D,3
S w i m m e r s,1
p e r f o r m,1
s q u a t s,1
w a r m - u p,1
p r i o r,2
e n t e r i n g,1
p o o l,1
U . S .,3
m i l i t a r y,7
b a s e,2
2 0 1 1,3
A r t i f a c t s,1
s t r u c t u r e s,4
s u g g e s t,2
C h i n a,9
e a r l y,16
2 0 0 0,1
B C,6
G y m n a s t i c s,1
a p p e a r s,2
a n c i e n t,17
p a s t,34
M o n u m e n t s,1
P h a r a o h s,1
i n d i c a t e,3
s w i m m i n g,2
f i s h i n g,1
w e r e,38
w e l l - d e v e l o p e d,1
s e v e r a l,9
t h o u s a n d s,5
y e a r s,19
a g o,10
E g y p t,4
E g y p t i a n,1
i n c l u d e d,1
j a v e l i n,1
t h r o w i n g,1
h i g h,6
j u m p,1
w r e s t l i n g,2
A n c i e n t,7
P e r s i a n,1
t r a d i t i o n a l,6
I r a n i a n,1
a r t,4
Z o o r k h a n e h,1
h a d,12
c l o s e,1
c o n n e c t i o n,1
w a r f a r e,2
A m o n g,2
o r i g i n a t e d,2
P e r s i a,1
p o l o,1
j o u s t i n g,1
V a r i o u s,3
I n d i a,4
K h o,1
k h o,1
K a b b a d i,1
p l a y e d,7
k a b a d d i,1
w a s,104
p o t e n t i a l l y,2
p r e p a r a t i o n,1
M o t o r i s e d,1
a p p e a r e d,1
s i n c e,11
a d v e n t,3
m o d e r n,20
w i d e,4
r a n g e,4
a l r e a d y,2
e s t a b l i s h e d,10
G r e e c e,2
c u l t u r e,6
d e v e l o p m e n t,11
i n f l u e n c e d,2
a n o t h e r,5
c o n s i d e r a b l y,1
b e c a m e,12
p r o m i n e n t,1
